('1', '6', '+', '3', '4', '+', '+')  =  14
('1', '6', '+', '4', '+', '3', '+')  =  14
('1', '6', '+', '4', '+', '3', '+')  =  14
('1', '6', '+', '4', '3', '+', '+')  =  14
('1', '6', '+', '4', '3', '+', '+')  =  14
('1', '6', '+', '3', '+', '4', '+')  =  14
('1', '6', '+', '3', '+', '4', '+')  =  14
('1', '6', '+', '3', '4', '+', '+')  =  14
('1', '6', '+', '3', '4', '+', '+')  =  14
('1', '6', '+', '4', '+', '3', '+')  =  14
('1', '6', '+', '4', '+', '3', '+')  =  14
('1', '6', '+', '4', '3', '+', '+')  =  14
('1', '6', '+', '4', '3', '+', '+')  =  14
('1', '6', '+', '3', '+', '4', '+')  =  14
('1', '6', '+', '3', '+', '4', '+')  =  14
('1', '6', '+', '3', '4', '+', '+')  =  14
('1', '6', '+', '3', '4', '+', '+')  =  14
('1', '6', '+', '4', '+', '3', '+')  =  14
('1', '6', '+', '4', '+', '3', '+')  =  14
('1', '6', '+', '4', '3', '+', '+')  =  14
('1', '6', '+', '4', '3', '+', '+')  =  14
('1', '6', '3', '+', '+', '4', '+')  =  14
('1', '6', '3', '+', '+', '4', '+')  =  14
('1', '6', '3', '+', '4', '+', '+')  =  14
('1', '6', '3', '+', '4', '+', '+')  =  14
('1', '6', '3', '+', '+', '4', '+')  =  14
('1', '6', '3', '+', '+', '4', '+')  =  14
('1', '6', '3', '+', '4', '+', '+')  =  14
('1', '6', '3', '+', '4', '+', '+')  =  14
('1', '6', '3', '+', '+', '4', '+')  =  14
('1', '6', '3', '+', '+', '4', '+')  =  14
('1', '6', '3', '+', '4', '+', '+')  =  14
('1', '6', '3', '+', '4', '+', '+')  =  14
('1', '6', '3', '4', '+', '+', '+')  =  14
('1', '6', '3', '4', '+', '+', '+')  =  14
('1', '6', '3', '4', '+', '+', '+')  =  14
('1', '6', '3', '4', '+', '+', '+')  =  14
('1', '6', '3', '4', '+', '+', '+')  =  14
('1', '6', '3', '4', '+', '+', '+')  =  14
('1', '6', '4', '+', '+', '3', '+')  =  14
('1', '6', '4', '+', '+', '3', '+')  =  14
('1', '6', '4', '+', '3', '+', '+')  =  14
('1', '6', '4', '+', '3', '+', '+')  =  14
('1', '6', '4', '+', '+', '3', '+')  =  14
('1', '6', '4', '+', '+', '3', '+')  =  14
('1', '6', '4', '+', '3', '+', '+')  =  14
('1', '6', '4', '+', '3', '+', '+')  =  14
('1', '6', '4', '+', '+', '3', '+')  =  14
('1', '6', '4', '+', '+', '3', '+')  =  14
('1', '6', '4', '+', '3', '+', '+')  =  14
('1', '6', '4', '+', '3', '+', '+')  =  14
('1', '6', '4', '3', '+', '+', '+')  =  14
('1', '6', '4', '3', '+', '+', '+')  =  14
('1', '6', '4', '3', '+', '+', '+')  =  14
('1', '6', '4', '3', '+', '+', '+')  =  14
('1', '6', '4', '3', '+', '+', '+')  =  14
('1', '6', '4', '3', '+', '+', '+')  =  14
('3', '1', '+', '4', '+', '6', '+')  =  14
('3', '1', '+', '4', '+', '6', '+')  =  14
('3', '1', '+', '4', '6', '+', '+')  =  14
('3', '1', '+', '4', '6', '+', '+')  =  14
('3', '1', '+', '6', '+', '4', '+')  =  14
('3', '1', '+', '6', '+', '4', '+')  =  14
('3', '1', '+', '6', '4', '+', '+')  =  14
('3', '1', '+', '6', '4', '+', '+')  =  14
('3', '1', '+', '4', '+', '6', '+')  =  14
('3', '1', '+', '4', '+', '6', '+')  =  14
('3', '1', '+', '4', '6', '+', '+')  =  14
('3', '1', '+', '4', '6', '+', '+')  =  14
('3', '1', '+', '6', '+', '4', '+')  =  14
('3', '1', '+', '6', '+', '4', '+')  =  14
('3', '1', '+', '6', '4', '+', '+')  =  14
('3', '1', '+', '6', '4', '+', '+')  =  14
('3', '1', '+', '4', '+', '6', '+')  =  14
('3', '1', '+', '4', '+', '6', '+')  =  14
('3', '1', '+', '4', '6', '+', '+')  =  14
('3', '1', '+', '4', '6', '+', '+')  =  14
('3', '1', '+', '6', '+', '4', '+')  =  14
('3', '1', '+', '6', '+', '4', '+')  =  14
('3', '1', '+', '6', '4', '+', '+')  =  14
('3', '1', '+', '6', '4', '+', '+')  =  14
('3', '1', '4', '+', '+', '6', '+')  =  14
('3', '1', '4', '+', '+', '6', '+')  =  14
('3', '1', '4', '+', '6', '+', '+')  =  14
('3', '1', '4', '+', '6', '+', '+')  =  14
('3', '1', '4', '+', '+', '6', '+')  =  14
('3', '1', '4', '+', '+', '6', '+')  =  14
('3', '1', '4', '+', '6', '+', '+')  =  14
('3', '1', '4', '+', '6', '+', '+')  =  14
('3', '1', '4', '+', '+', '6', '+')  =  14
('3', '1', '4', '+', '+', '6', '+')  =  14
('3', '1', '4', '+', '6', '+', '+')  =  14
('3', '1', '4', '+', '6', '+', '+')  =  14
('3', '1', '4', '6', '+', '+', '+')  =  14
('3', '1', '4', '6', '+', '+', '+')  =  14
('3', '1', '4', '6', '+', '+', '+')  =  14
('3', '1', '4', '6', '+', '+', '+')  =  14
('3', '1', '4', '6', '+', '+', '+')  =  14
('3', '1', '4', '6', '+', '+', '+')  =  14
('3', '1', '6', '+', '+', '4', '+')  =  14
('3', '1', '6', '+', '+', '4', '+')  =  14
('3', '1', '6', '+', '4', '+', '+')  =  14
('3', '1', '6', '+', '4', '+', '+')  =  14
('3', '1', '6', '+', '+', '4', '+')  =  14
('3', '1', '6', '+', '+', '4', '+')  =  14
('3', '1', '6', '+', '4', '+', '+')  =  14
('3', '1', '6', '+', '4', '+', '+')  =  14
('3', '1', '6', '+', '+', '4', '+')  =  14
('3', '1', '6', '+', '+', '4', '+')  =  14
('3', '1', '6', '+', '4', '+', '+')  =  14
('3', '1', '6', '+', '4', '+', '+')  =  14
('3', '1', '6', '4', '+', '+', '+')  =  14
('3', '1', '6', '4', '+', '+', '+')  =  14
('3', '1', '6', '4', '+', '+', '+')  =  14
('3', '1', '6', '4', '+', '+', '+')  =  14
('3', '1', '6', '4', '+', '+', '+')  =  14
('3', '1', '6', '4', '+', '+', '+')  =  14
('3', '4', '+', '1', '+', '6', '+')  =  14
('3', '4', '+', '1', '+', '6', '+')  =  14
('3', '4', '+', '1', '6', '+', '+')  =  14
('3', '4', '+', '1', '6', '+', '+')  =  14
('3', '4', '+', '6', '+', '1', '+')  =  14
('3', '4', '+', '6', '+', '1', '+')  =  14
('3', '4', '+', '6', '1', '+', '+')  =  14
('3', '4', '+', '6', '1', '+', '+')  =  14
('3', '4', '+', '1', '+', '6', '+')  =  14
('3', '4', '+', '1', '+', '6', '+')  =  14
('3', '4', '+', '1', '6', '+', '+')  =  14
('3', '4', '+', '1', '6', '+', '+')  =  14
('3', '4', '+', '6', '+', '1', '+')  =  14
('3', '4', '+', '6', '+', '1', '+')  =  14
('3', '4', '+', '6', '1', '+', '+')  =  14
('3', '4', '+', '6', '1', '+', '+')  =  14
('3', '4', '+', '1', '+', '6', '+')  =  14
('3', '4', '+', '1', '+', '6', '+')  =  14
('3', '4', '+', '1', '6', '+', '+')  =  14
('3', '4', '+', '1', '6', '+', '+')  =  14
('3', '4', '+', '6', '+', '1', '+')  =  14
